"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0M530","2020-02-28 00:00:00","1385.000","93.000","1.200","12.600","0.710","872.800","","0.000","-99.000","-99.000","-99.000","20.200","","12.100",""
"C0R170","2020-02-28 00:00:00","26.000","0.000","0.000","20.800","1.000","1016.200","","0.000","-99.000","-99.000","-99.000","28.300","","20.500",""
"C0I420","2020-02-28 00:00:00","305.000","296.000","0.500","17.200","0.930","984.100","","0.000","-99.000","-99.000","-99.000","27.300","","15.500",""
"C0A640","2020-02-28 00:00:00","241.000","0.000","0.000","17.700","0.940","995.200","","1.500","-99.000","-99.000","-99.000","18.100","","15.400",""
"C0A930","2020-02-28 00:00:00","216.000","164.000","1.400","17.300","0.990","994.800","","13.500","-99.000","-99.000","-99.000","17.300","","15.300",""
"C0F9M0","2020-02-28 00:00:00","230.000","348.000","0.500","17.600","0.970","992.400","","0.000","-99.000","-99.000","-99.000","24.000","","16.600",""
"C0AC40","2020-02-28 00:00:00","1079.000","302.000","2.600","12.900","0.990","897.900","","5.000","8.200","28.000","","12.900","","9.900",""
"C0AI00","2020-02-28 00:00:00","188.000","55.000","1.200","18.400","0.940","999.800","","0.000","-99.000","-99.000","-99.000","22.500","","17.000",""
"C0T9M0","2020-02-28 00:00:00","92.000","316.000","2.100","19.600","0.840","1012.600","","13.000","-99.000","-99.000","-99.000","21.800","","18.600",""
"C0S960","2020-02-28 00:00:00","32.000","305.000","1.800","21.600","0.760","1017.000","","0.000","-99.000","-99.000","-99.000","23.600","","21.300",""
"C0K430","2020-02-28 00:00:00","30.000","350.000","0.900","18.300","1.000","1016.800","","0.000","-99.000","-99.000","-99.000","24.100","","18.300",""
"C0Z170","2020-02-28 00:00:00","199.000","0.000","0.000","18.800","0.950","1000.200","","1.500","-99.000","-99.000","-99.000","21.500","","18.800",""
"C0Z100","2020-02-28 00:00:00","36.000","0.000","0.000","17.300","0.960","1018.800","","2.000","-99.000","-99.000","-99.000","22.300","","17.300",""
"C0U710","2020-02-28 00:00:00","1942.000","129.000","1.200","8.700","0.990","812.700","","2.000","-99.000","-99.000","-99.000","10.800","","7.900",""
"C0SA30","2020-02-28 00:00:00","92.000","341.000","0.700","20.000","0.810","1011.500","","0.500","-99.000","-99.000","-99.000","21.900","","19.500",""
"C0V500","2020-02-28 00:00:00","6.000","349.000","0.500","22.300","0.810","1016.900","","0.000","-99.000","-99.000","-99.000","26.200","","21.300",""
"CM0160","2020-02-28 00:00:00","159.000","0.000","0.100","17.200","0.910","1002.300","","0.000","-99.000","-99.000","-99.000","31.100","","17.200",""
"C0V350","2020-02-28 00:00:00","36.000","267.000","0.300","21.100","0.890","1016.100","","0.000","-99.000","-99.000","-99.000","29.000","","20.100",""
"C0W120","2020-02-28 00:00:00","58.000","-99.000","-99.000","19.500","0.850","1013.200","","0.000","-99.000","-99.000","-99.000","20.400","","19.000",""
"C0R470","2020-02-28 00:00:00","103.000","355.000","0.300","21.800","0.910","1007.700","","0.000","-99.000","-99.000","-99.000","27.700","","20.200",""
"C0M770","2020-02-28 00:00:00","164.000","57.000","0.400","18.300","1.000","999.900","","0.000","-99.000","-99.000","-99.000","25.500","","18.200",""
"C0S930","2020-02-28 00:00:00","248.000","234.000","1.100","18.500","0.890","993.300","","0.000","-99.000","-99.000","-99.000","22.300","","18.500",""
"C0F9Y0","2020-02-28 00:00:00","3313.000","220.000","2.000","1.900","0.430","688.700","","0.000","-99.000","-99.000","-99.000","10.400","","1.000",""
"C0E790","2020-02-28 00:00:00","344.000","111.000","1.200","16.700","1.000","979.100","","0.000","-99.000","-99.000","-99.000","25.300","","16.700",""
"C0O810","2020-02-28 00:00:00","161.000","138.000","0.300","20.000","0.990","1001.700","","0.000","-99.000","-99.000","-99.000","27.700","","18.200",""
"C0R520","2020-02-28 00:00:00","18.000","9.000","1.200","21.800","0.900","1017.100","","0.000","-99.000","-99.000","-99.000","26.400","","21.100",""
"C0G880","2020-02-28 00:00:00","92.000","87.000","0.800","18.700","0.880","1008.300","","0.000","-99.000","-99.000","-99.000","26.100","","18.600",""
"C0R260","2020-02-28 00:00:00","76.000","0.000","0.200","21.000","0.950","1009.900","","0.000","-99.000","-99.000","-99.000","27.100","","20.500",""
"C0U950","2020-02-28 00:00:00","1012.000","95.000","8.500","14.000","1.000","908.700","","10.000","14.400","98.000","","14.000","","11.200",""
"C0O860","2020-02-28 00:00:00","38.000","321.000","0.600","19.900","0.990","1014.500","","0.000","-99.000","-99.000","-99.000","27.800","","19.900",""
"C0R320","2020-02-28 00:00:00","7.000","65.000","8.400","22.300","0.750","1018.200","","0.000","-99.000","-99.000","-99.000","25.700","","21.800",""
